park_id,category,vacancy_type,vacancy,lastupdate,type,rounded_time
tdc8p7,HOURLY,A,58,2021-06-15 13:58:06,P,2021-06-15 14:00:00
tdc8p7,HOURLY,A,207,2021-06-15 06:58:06,P,2021-06-15 07:00:00
tdc8p7,HOURLY,A,175,2021-06-14 21:57:08,P,2021-06-14 22:00:00
tdc8p7,HOURLY,A,205,2021-06-13 06:43:09,P,2021-06-13 06:45:00
tdc8p7,HOURLY,A,55,2021-06-12 21:13:08,P,2021-06-12 21:15:00
tdc8p7,HOURLY,A,9,2021-06-12 12:43:10,P,2021-06-12 12:45:00
tdc8p7,HOURLY,A,210,2021-06-12 05:58:05,P,2021-06-12 06:00:00
tdc8p7,HOURLY,A,201,2021-06-11 23:27:08,P,2021-06-11 23:30:00
tdc8p7,HOURLY,A,4,2021-06-11 13:43:09,P,2021-06-11 13:45:00
tdc8p7,HOURLY,A,205,2021-06-11 02:42:05,P,2021-06-11 02:45:00
tdc8p7,HOURLY,A,47,2021-06-10 20:13:10,P,2021-06-10 20:15:00
tdc8p7,HOURLY,A,110,2021-06-10 16:12:06,P,2021-06-10 16:15:00
tdc8p7,HOURLY,A,45,2021-06-10 12:28:06,P,2021-06-10 12:30:00
tdc8p7,HOURLY,A,171,2021-06-10 09:57:09,P,2021-06-10 10:00:00
tdc8p7,HOURLY,A,208,2021-06-10 07:13:08,P,2021-06-10 07:15:00
tdc8p7,HOURLY,A,209,2021-06-10 03:57:09,P,2021-06-10 04:00:00
tdc8p7,HOURLY,A,209,2021-06-10 00:12:06,P,2021-06-10 00:15:00
tdc8p7,HOURLY,A,46,2021-06-09 20:12:06,P,2021-06-09 20:15:00
tdc8p7,HOURLY,A,137,2021-06-09 17:28:06,P,2021-06-09 17:30:00
tdc8p7,HOURLY,A,19,2021-06-09 13:57:09,P,2021-06-09 14:00:00
tdc8p7,HOURLY,A,154,2021-06-09 10:57:09,P,2021-06-09 11:00:00
tdc8p7,HOURLY,A,166,2021-06-09 09:43:08,P,2021-06-09 09:45:00
