park_id,category,vacancy_type,vacancy,lastupdate,type,rounded_time
tdc6p17,HOURLY,A,0,2021-06-15 13:13:29,P,2021-06-15 13:15:00
tdc6p17,HOURLY,A,17,2021-06-15 06:14:05,P,2021-06-15 06:15:00
tdc6p17,HOURLY,A,7,2021-06-14 21:14:05,P,2021-06-14 21:15:00
tdc6p17,HOURLY,A,11,2021-06-13 06:13:43,P,2021-06-13 06:15:00
tdc6p17,HOURLY,A,0,2021-06-12 20:16:30,P,2021-06-12 20:30:00
tdc6p17,HOURLY,A,0,2021-06-12 12:29:22,P,2021-06-12 12:30:00
tdc6p17,HOURLY,A,18,2021-06-12 04:16:40,P,2021-06-12 04:30:00
tdc6p17,HOURLY,A,14,2021-06-11 23:16:33,P,2021-06-11 23:30:00
tdc6p17,HOURLY,A,0,2021-06-11 13:13:42,P,2021-06-11 13:15:00
tdc6p17,HOURLY,A,18,2021-06-11 02:01:22,P,2021-06-11 02:15:00
tdc6p17,HOURLY,A,7,2021-06-10 19:16:53,P,2021-06-10 19:30:00
tdc6p17,HOURLY,A,0,2021-06-10 15:17:37,P,2021-06-10 15:30:00
tdc6p17,HOURLY,A,0,2021-06-10 12:13:37,P,2021-06-10 12:15:00
tdc6p17,HOURLY,A,0,2021-06-10 09:13:55,P,2021-06-10 09:15:00
tdc6p17,HOURLY,A,6,2021-06-10 07:13:48,P,2021-06-10 07:15:00
tdc6p17,HOURLY,A,15,2021-06-10 03:03:38,P,2021-06-10 03:15:00
tdc6p17,HOURLY,A,16,2021-06-09 23:16:53,P,2021-06-09 23:30:00
tdc6p17,HOURLY,A,0,2021-06-09 19:16:33,P,2021-06-09 19:30:00
tdc6p17,HOURLY,A,2,2021-06-09 17:16:34,P,2021-06-09 17:30:00
tdc6p17,HOURLY,A,0,2021-06-09 12:13:42,P,2021-06-09 12:15:00
tdc6p17,HOURLY,A,6,2021-06-09 10:14:48,P,2021-06-09 10:15:00
tdc6p17,HOURLY,A,0,2021-06-09 09:13:42,P,2021-06-09 09:15:00
tdc6p17,HOURLY,A,3,2021-06-09 08:14:07,P,2021-06-09 08:15:00
tdc6p17,HOURLY,A,19,2021-06-09 05:03:42,P,2021-06-09 05:15:00
tdc6p17,HOURLY,A,18,2021-06-09 04:01:02,P,2021-06-09 04:15:00
tdc6p17,HOURLY,A,18,2021-06-09 02:01:54,P,2021-06-09 02:15:00
tdc6p17,HOURLY,A,0,2021-06-08 20:16:45,P,2021-06-08 20:30:00
tdc6p17,HOURLY,A,0,2021-06-08 18:16:42,P,2021-06-08 18:30:00
tdc6p17,HOURLY,A,0,2021-06-08 15:19:37,P,2021-06-08 15:30:00
tdc6p17,HOURLY,A,0,2021-06-08 14:13:56,P,2021-06-08 14:15:00
tdc6p17,HOURLY,A,0,2021-06-08 13:14:01,P,2021-06-08 13:15:00
tdc6p17,HOURLY,A,19,2021-06-08 03:04:00,P,2021-06-08 03:15:00
tdc6p17,HOURLY,A,19,2021-06-08 01:18:42,P,2021-06-08 01:30:00
tdc6p17,HOURLY,A,16,2021-06-07 22:16:40,P,2021-06-07 22:30:00
tdc6p17,HOURLY,A,0,2021-06-07 13:14:01,P,2021-06-07 13:15:00
tdc6p17,HOURLY,A,0,2021-06-07 11:14:35,P,2021-06-07 11:15:00
tdc6p17,HOURLY,A,7,2021-06-07 09:13:51,P,2021-06-07 09:15:00
tdc6p17,HOURLY,A,15,2021-06-07 07:13:49,P,2021-06-07 07:15:00
tdc6p17,HOURLY,A,19,2021-06-07 05:03:53,P,2021-06-07 05:15:00
tdc6p17,HOURLY,A,17,2021-06-07 03:03:51,P,2021-06-07 03:15:00
tdc6p17,HOURLY,A,16,2021-06-07 00:23:42,P,2021-06-07 00:30:00
tdc6p17,HOURLY,A,0,2021-06-06 15:16:27,P,2021-06-06 15:30:00
tdc6p17,HOURLY,A,0,2021-06-06 12:13:59,P,2021-06-06 12:15:00
tdc6p17,HOURLY,A,0,2021-06-06 10:13:50,P,2021-06-06 10:15:00
tdc6p17,HOURLY,A,4,2021-06-06 08:13:48,P,2021-06-06 08:15:00
tdc6p17,HOURLY,A,13,2021-06-06 06:13:58,P,2021-06-06 06:15:00
tdc6p17,HOURLY,A,9,2021-06-06 03:29:24,P,2021-06-06 03:30:00
tdc6p17,HOURLY,A,12,2021-06-06 01:33:56,P,2021-06-06 01:45:00
tdc6p17,HOURLY,A,13,2021-06-06 00:14:27,P,2021-06-06 00:15:00
tdc6p17,HOURLY,A,0,2021-06-05 19:16:39,P,2021-06-05 19:30:00
tdc6p17,HOURLY,A,0,2021-06-05 17:16:43,P,2021-06-05 17:30:00
tdc6p17,HOURLY,A,0,2021-06-05 15:14:42,P,2021-06-05 15:15:00
tdc6p17,HOURLY,A,0,2021-06-05 14:13:47,P,2021-06-05 14:15:00
tdc6p17,HOURLY,A,0,2021-06-05 12:13:54,P,2021-06-05 12:15:00
tdc6p17,HOURLY,A,0,2021-06-05 09:13:46,P,2021-06-05 09:15:00
tdc6p17,HOURLY,A,3,2021-06-05 08:18:55,P,2021-06-05 08:30:00
tdc6p17,HOURLY,A,13,2021-06-05 06:16:43,P,2021-06-05 06:30:00
tdc6p17,HOURLY,A,14,2021-06-05 04:17:25,P,2021-06-05 04:30:00
tdc6p17,HOURLY,A,16,2021-06-05 02:17:25,P,2021-06-05 02:30:00
tdc6p17,HOURLY,A,17,2021-06-05 00:17:01,P,2021-06-05 00:30:00
tdc6p17,HOURLY,A,14,2021-06-04 22:16:39,P,2021-06-04 22:30:00
tdc6p17,HOURLY,A,0,2021-06-04 19:16:41,P,2021-06-04 19:30:00
tdc6p17,HOURLY,A,2,2021-06-04 17:17:02,P,2021-06-04 17:30:00
tdc6p17,HOURLY,A,0,2021-06-04 14:19:47,P,2021-06-04 14:30:00
tdc6p17,HOURLY,A,2,2021-06-04 11:19:26,P,2021-06-04 11:30:00
tdc6p17,HOURLY,A,0,2021-06-04 09:18:56,P,2021-06-04 09:30:00
tdc6p17,HOURLY,A,14,2021-06-04 03:03:59,P,2021-06-04 03:15:00
tdc6p17,HOURLY,A,0,2021-06-03 20:16:41,P,2021-06-03 20:30:00
tdc6p17,HOURLY,A,0,2021-06-03 14:16:35,P,2021-06-03 14:30:00
tdc6p17,HOURLY,A,6,2021-06-03 08:16:38,P,2021-06-03 08:30:00
tdc6p17,HOURLY,A,3,2021-06-02 19:16:44,P,2021-06-02 19:30:00
tdc6p17,HOURLY,A,5,2021-06-02 15:18:57,P,2021-06-02 15:30:00
tdc6p17,HOURLY,A,9,2021-06-02 08:14:29,P,2021-06-02 08:15:00
tdc6p17,HOURLY,A,13,2021-06-02 03:03:43,P,2021-06-02 03:15:00
tdc6p17,HOURLY,A,5,2021-06-01 17:13:44,P,2021-06-01 17:15:00
tdc6p17,HOURLY,A,2,2021-06-01 10:21:25,P,2021-06-01 10:30:00
tdc6p17,HOURLY,A,20,2021-06-01 05:03:28,P,2021-06-01 05:15:00
