park_id,category,vacancy_type,vacancy,lastupdate,type,rounded_time
tdstt48,HOURLY,A,29,2021-06-15 13:57:08,P,2021-06-15 14:00:00
tdstt48,HOURLY,A,41,2021-06-15 06:57:06,P,2021-06-15 07:00:00
tdstt48,HOURLY,A,34,2021-06-14 21:57:07,P,2021-06-14 22:00:00
tdstt48,HOURLY,A,38,2021-06-13 06:42:05,P,2021-06-13 06:45:00
tdstt48,HOURLY,A,29,2021-06-12 21:13:07,P,2021-06-12 21:15:00
tdstt48,HOURLY,A,28,2021-06-12 12:43:08,P,2021-06-12 12:45:00
tdstt48,HOURLY,A,38,2021-06-12 05:57:07,P,2021-06-12 06:00:00
tdstt48,HOURLY,A,40,2021-06-11 23:26:05,P,2021-06-11 23:30:00
tdstt48,HOURLY,A,29,2021-06-11 13:42:05,P,2021-06-11 13:45:00
tdstt48,HOURLY,A,38,2021-06-11 02:41:08,P,2021-06-11 02:45:00
tdstt48,HOURLY,A,32,2021-06-10 20:13:08,P,2021-06-10 20:15:00
tdstt48,HOURLY,A,27,2021-06-10 16:11:08,P,2021-06-10 16:15:00
tdstt48,HOURLY,A,27,2021-06-10 12:27:08,P,2021-06-10 12:30:00
tdstt48,HOURLY,A,29,2021-06-10 09:56:05,P,2021-06-10 10:00:00
tdstt48,HOURLY,A,43,2021-06-10 07:13:08,P,2021-06-10 07:15:00
tdstt48,HOURLY,A,38,2021-06-10 03:56:04,P,2021-06-10 04:00:00
tdstt48,HOURLY,A,42,2021-06-10 00:11:07,P,2021-06-10 00:15:00
tdstt48,HOURLY,A,29,2021-06-09 20:12:05,P,2021-06-09 20:15:00
tdstt48,HOURLY,A,30,2021-06-09 17:28:05,P,2021-06-09 17:30:00
tdstt48,HOURLY,A,27,2021-06-09 13:56:05,P,2021-06-09 14:00:00
tdstt48,HOURLY,A,28,2021-06-09 10:56:05,P,2021-06-09 11:00:00
tdstt48,HOURLY,A,25,2021-06-09 09:43:07,P,2021-06-09 09:45:00
tdstt48,HOURLY,A,34,2021-06-09 08:43:08,P,2021-06-09 08:45:00
tdstt48,HOURLY,A,42,2021-06-09 05:56:05,P,2021-06-09 06:00:00
tdstt48,HOURLY,A,42,2021-06-09 04:12:05,P,2021-06-09 04:15:00
tdstt48,HOURLY,A,38,2021-06-09 02:12:04,P,2021-06-09 02:15:00
tdstt48,HOURLY,A,29,2021-06-08 20:58:04,P,2021-06-08 21:00:00
tdstt48,HOURLY,A,28,2021-06-08 18:43:08,P,2021-06-08 18:45:00
tdstt48,HOURLY,A,30,2021-06-08 16:11:29,P,2021-06-08 16:15:00
tdstt48,HOURLY,A,28,2021-06-08 14:12:28,P,2021-06-08 14:15:00
tdstt48,HOURLY,A,28,2021-06-08 13:12:28,P,2021-06-08 13:15:00
tdstt48,HOURLY,A,41,2021-06-08 03:55:28,P,2021-06-08 04:00:00
tdstt48,HOURLY,A,39,2021-06-08 01:42:28,P,2021-06-08 01:45:00
tdstt48,HOURLY,A,34,2021-06-07 22:58:28,P,2021-06-07 23:00:00
tdstt48,HOURLY,A,25,2021-06-07 13:57:29,P,2021-06-07 14:00:00
tdstt48,HOURLY,A,23,2021-06-07 11:42:28,P,2021-06-07 11:45:00
tdstt48,HOURLY,A,30,2021-06-07 09:41:30,P,2021-06-07 09:45:00
tdstt48,HOURLY,A,43,2021-06-07 07:42:27,P,2021-06-07 07:45:00
tdstt48,HOURLY,A,43,2021-06-07 06:11:30,P,2021-06-07 06:15:00
tdstt48,HOURLY,A,43,2021-06-07 03:43:29,P,2021-06-07 03:45:00
tdstt48,HOURLY,A,39,2021-06-07 00:28:27,P,2021-06-07 00:30:00
tdstt48,HOURLY,A,29,2021-06-06 15:57:29,P,2021-06-06 16:00:00
tdstt48,HOURLY,A,26,2021-06-06 13:27:30,P,2021-06-06 13:30:00
tdstt48,HOURLY,A,28,2021-06-06 11:11:29,P,2021-06-06 11:15:00
tdstt48,HOURLY,A,34,2021-06-06 08:43:29,P,2021-06-06 08:45:00
tdstt48,HOURLY,A,43,2021-06-06 06:58:26,P,2021-06-06 07:00:00
tdstt48,HOURLY,A,40,2021-06-06 04:11:29,P,2021-06-06 04:15:00
tdstt48,HOURLY,A,38,2021-06-06 01:57:30,P,2021-06-06 02:00:00
tdstt48,HOURLY,A,40,2021-06-06 00:27:30,P,2021-06-06 00:30:00
tdstt48,HOURLY,A,24,2021-06-05 19:58:27,P,2021-06-05 20:00:00
tdstt48,HOURLY,A,30,2021-06-05 17:56:28,P,2021-06-05 18:00:00
tdstt48,HOURLY,A,28,2021-06-05 15:42:27,P,2021-06-05 15:45:00
tdstt48,HOURLY,A,30,2021-06-05 14:28:26,P,2021-06-05 14:30:00
tdstt48,HOURLY,A,25,2021-06-05 12:27:31,P,2021-06-05 12:30:00
tdstt48,HOURLY,A,24,2021-06-05 10:58:27,P,2021-06-05 11:00:00
tdstt48,HOURLY,A,33,2021-06-05 08:43:30,P,2021-06-05 08:45:00
tdstt48,HOURLY,A,43,2021-06-05 06:56:26,P,2021-06-05 07:00:00
tdstt48,HOURLY,A,39,2021-06-05 04:56:28,P,2021-06-05 05:00:00
tdstt48,HOURLY,A,42,2021-06-05 02:27:28,P,2021-06-05 02:30:00
tdstt48,HOURLY,A,41,2021-06-05 00:28:26,P,2021-06-05 00:30:00
tdstt48,HOURLY,A,35,2021-06-04 22:27:29,P,2021-06-04 22:30:00
tdstt48,HOURLY,A,26,2021-06-04 19:42:28,P,2021-06-04 19:45:00
tdstt48,HOURLY,A,27,2021-06-04 17:27:31,P,2021-06-04 17:30:00
tdstt48,HOURLY,A,31,2021-06-04 15:43:28,P,2021-06-04 15:45:00
tdstt48,HOURLY,A,26,2021-06-04 12:55:31,P,2021-06-04 13:00:00
tdstt48,HOURLY,A,26,2021-06-04 10:12:26,P,2021-06-04 10:15:00
tdstt48,HOURLY,A,42,2021-06-04 03:11:29,P,2021-06-04 03:15:00
tdstt48,HOURLY,A,28,2021-06-03 20:57:29,P,2021-06-03 21:00:00
tdstt48,HOURLY,A,26,2021-06-03 14:55:30,P,2021-06-03 15:00:00
tdstt48,HOURLY,A,30,2021-06-03 08:57:30,P,2021-06-03 09:00:00
tdstt48,HOURLY,A,29,2021-06-02 20:12:25,P,2021-06-02 20:15:00
tdstt48,HOURLY,A,30,2021-06-02 15:41:36,P,2021-06-02 15:45:00
tdstt48,HOURLY,A,28,2021-06-02 09:12:26,P,2021-06-02 09:15:00
tdstt48,HOURLY,A,41,2021-06-02 03:26:24,P,2021-06-02 03:30:00
tdstt48,HOURLY,A,32,2021-06-01 17:41:29,P,2021-06-01 17:45:00
tdstt48,HOURLY,A,24,2021-06-01 11:57:32,P,2021-06-01 12:00:00
tdstt48,HOURLY,A,38,2021-06-01 06:11:32,P,2021-06-01 06:15:00
tdstt48,HOURLY,A,41,2021-06-01 00:41:30,P,2021-06-01 00:45:00
tdstt48,HOURLY,A,27,2021-05-24 13:27:07,P,2021-05-24 13:30:00
tdstt48,HOURLY,A,41,2021-05-24 07:56:03,P,2021-05-24 08:00:00
tdstt48,HOURLY,A,41,2021-05-24 03:26:03,P,2021-05-24 03:30:00
tdstt48,HOURLY,A,29,2021-05-23 20:27:04,P,2021-05-23 20:30:00
tdstt48,HOURLY,A,27,2021-05-23 18:42:07,P,2021-05-23 18:45:00
tdstt48,HOURLY,A,33,2021-05-23 08:26:07,P,2021-05-23 08:30:00
tdstt48,HOURLY,A,42,2021-05-23 01:42:07,P,2021-05-23 01:45:00
tdstt48,HOURLY,A,24,2021-05-22 18:58:06,P,2021-05-22 19:00:00
tdstt48,HOURLY,A,26,2021-05-22 11:43:04,P,2021-05-22 11:45:00
tdstt48,HOURLY,A,42,2021-05-22 06:41:03,P,2021-05-22 06:45:00
tdstt48,HOURLY,A,39,2021-05-22 00:27:03,P,2021-05-22 00:30:00
tdstt48,HOURLY,A,27,2021-05-21 18:57:03,P,2021-05-21 19:00:00
tdstt48,HOURLY,A,23,2021-05-21 10:57:03,P,2021-05-21 11:00:00
tdstt48,HOURLY,A,43,2021-05-21 06:10:06,P,2021-05-21 06:15:00
tdstt48,HOURLY,A,41,2021-05-21 00:41:03,P,2021-05-21 00:45:00
tdstt48,HOURLY,A,35,2021-05-20 22:42:03,P,2021-05-20 22:45:00
tdstt48,HOURLY,A,30,2021-05-20 20:26:09,P,2021-05-20 20:30:00
tdstt48,HOURLY,A,26,2021-05-20 18:58:03,P,2021-05-20 19:00:00
tdstt48,HOURLY,A,29,2021-05-20 17:27:07,P,2021-05-20 17:30:00
tdstt48,HOURLY,A,28,2021-05-20 13:56:03,P,2021-05-20 14:00:00
tdstt48,HOURLY,A,23,2021-05-20 11:41:06,P,2021-05-20 11:45:00
tdstt48,HOURLY,A,39,2021-05-20 06:27:06,P,2021-05-20 06:30:00
tdstt48,HOURLY,A,43,2021-05-20 05:12:03,P,2021-05-20 05:15:00
tdstt48,HOURLY,A,40,2021-05-20 02:43:06,P,2021-05-20 02:45:00
tdstt48,HOURLY,A,33,2021-05-19 21:13:06,P,2021-05-19 21:15:00
tdstt48,HOURLY,A,26,2021-05-19 16:26:03,P,2021-05-19 16:30:00
tdstt48,HOURLY,A,38,2021-05-14 01:41:06,P,2021-05-14 01:45:00
tdstt48,HOURLY,A,34,2021-05-13 22:42:04,P,2021-05-13 22:45:00
tdstt48,HOURLY,A,27,2021-05-13 19:41:06,P,2021-05-13 19:45:00
tdstt48,HOURLY,A,28,2021-05-13 16:26:03,P,2021-05-13 16:30:00
tdstt48,HOURLY,A,25,2021-05-13 13:26:03,P,2021-05-13 13:30:00
tdstt48,HOURLY,A,26,2021-05-13 10:26:03,P,2021-05-13 10:30:00
tdstt48,HOURLY,A,40,2021-05-13 06:56:03,P,2021-05-13 07:00:00
tdstt48,HOURLY,A,43,2021-05-13 03:57:06,P,2021-05-13 04:00:00
tdstt48,HOURLY,A,40,2021-05-13 00:57:03,P,2021-05-13 01:00:00
tdstt48,HOURLY,A,39,2021-05-12 22:12:03,P,2021-05-12 22:15:00
tdstt48,HOURLY,A,33,2021-05-05 08:57:08,P,2021-05-05 09:00:00
tdstt48,HOURLY,A,39,2021-05-05 00:26:03,P,2021-05-05 00:30:00
tdstt48,HOURLY,A,31,2021-05-04 21:27:07,P,2021-05-04 21:30:00
tdstt48,HOURLY,A,29,2021-05-04 20:12:03,P,2021-05-04 20:15:00
tdstt48,HOURLY,A,27,2021-05-04 18:57:06,P,2021-05-04 19:00:00
tdstt48,HOURLY,A,29,2021-05-04 16:56:04,P,2021-05-04 17:00:00
tdstt48,HOURLY,A,27,2021-05-04 14:56:04,P,2021-05-04 15:00:00
tdstt48,HOURLY,A,26,2021-05-04 12:27:06,P,2021-05-04 12:30:00
tdstt48,HOURLY,A,28,2021-05-04 10:40:03,P,2021-05-04 10:45:00
tdstt48,HOURLY,A,39,2021-05-04 07:13:05,P,2021-05-04 07:15:00
tdstt48,HOURLY,A,43,2021-05-04 04:57:07,P,2021-05-04 05:00:00
tdstt48,HOURLY,A,39,2021-05-03 23:41:04,P,2021-05-03 23:45:00
tdstt48,HOURLY,A,23,2021-05-03 18:13:06,P,2021-05-03 18:15:00
tdstt48,HOURLY,A,28,2021-05-03 12:43:06,P,2021-05-03 12:45:00
tdstt48,HOURLY,A,43,2021-05-03 03:12:03,P,2021-05-03 03:15:00
tdstt48,HOURLY,A,26,2021-05-02 19:41:06,P,2021-05-02 19:45:00
tdstt48,HOURLY,A,27,2021-05-02 10:41:06,P,2021-05-02 10:45:00
tdstt48,HOURLY,A,27,2021-06-15 13:42:04,P,2021-06-15 13:45:00
tdstt48,HOURLY,A,43,2021-06-15 06:42:04,P,2021-06-15 06:45:00
tdstt48,HOURLY,A,38,2021-06-14 23:11:06,P,2021-06-14 23:15:00
tdstt48,HOURLY,A,24,2021-06-14 18:41:07,P,2021-06-14 18:45:00
tdstt48,HOURLY,A,31,2021-06-14 15:10:04,P,2021-06-14 15:15:00
tdstt48,HOURLY,A,25,2021-06-13 14:58:04,P,2021-06-13 15:00:00
tdstt48,HOURLY,A,25,2021-06-13 11:57:08,P,2021-06-13 12:00:00
tdstt48,HOURLY,A,42,2021-06-13 07:42:05,P,2021-06-13 07:45:00
tdstt48,HOURLY,A,29,2021-06-12 20:57:09,P,2021-06-12 21:00:00
tdstt48,HOURLY,A,30,2021-06-12 09:28:05,P,2021-06-12 09:30:00
tdstt48,HOURLY,A,39,2021-06-12 01:57:08,P,2021-06-12 02:00:00
tdstt48,HOURLY,A,27,2021-06-11 19:27:07,P,2021-06-11 19:30:00
tdstt48,HOURLY,A,43,2021-06-11 06:13:08,P,2021-06-11 06:15:00
tdstt48,HOURLY,A,41,2021-06-10 23:13:08,P,2021-06-10 23:15:00
tdstt48,HOURLY,A,40,2021-06-04 06:10:25,P,2021-06-04 06:15:00
tdstt48,HOURLY,A,27,2021-06-03 17:42:27,P,2021-06-03 17:45:00
tdstt48,HOURLY,A,26,2021-06-03 12:12:26,P,2021-06-03 12:15:00
tdstt48,HOURLY,A,42,2021-06-03 06:56:26,P,2021-06-03 07:00:00
tdstt48,HOURLY,A,38,2021-06-03 01:41:28,P,2021-06-03 01:45:00
tdstt48,HOURLY,A,27,2021-06-02 11:13:30,P,2021-06-02 11:15:00
tdstt48,HOURLY,A,43,2021-06-02 01:58:25,P,2021-06-02 02:00:00
tdstt48,HOURLY,A,27,2021-06-01 16:55:29,P,2021-06-01 17:00:00
