park_id,category,vacancy_type,vacancy,lastupdate,type,rounded_time
tdstt28,HOURLY,A,33,2021-06-15 13:58:05,P,2021-06-15 14:00:00
tdstt28,HOURLY,A,86,2021-06-15 06:58:04,P,2021-06-15 07:00:00
tdstt28,HOURLY,A,90,2021-06-14 21:57:07,P,2021-06-14 22:00:00
tdstt28,HOURLY,A,89,2021-06-13 06:43:07,P,2021-06-13 06:45:00
tdstt28,HOURLY,A,81,2021-06-12 21:13:07,P,2021-06-12 21:15:00
tdstt28,HOURLY,A,48,2021-06-12 12:42:05,P,2021-06-12 12:45:00
tdstt28,HOURLY,A,95,2021-06-12 05:58:04,P,2021-06-12 06:00:00
tdstt28,HOURLY,A,96,2021-06-11 23:27:07,P,2021-06-11 23:30:00
tdstt28,HOURLY,A,34,2021-06-11 13:43:08,P,2021-06-11 13:45:00
tdstt28,HOURLY,A,94,2021-06-11 02:42:04,P,2021-06-11 02:45:00
tdstt28,HOURLY,A,74,2021-06-10 20:12:05,P,2021-06-10 20:15:00
tdstt28,HOURLY,A,35,2021-06-10 16:11:08,P,2021-06-10 16:15:00
tdstt28,HOURLY,A,21,2021-06-10 12:28:05,P,2021-06-10 12:30:00
tdstt28,HOURLY,A,38,2021-06-10 09:57:08,P,2021-06-10 10:00:00
tdstt28,HOURLY,A,76,2021-06-10 07:13:08,P,2021-06-10 07:15:00
tdstt28,HOURLY,A,97,2021-06-10 03:56:04,P,2021-06-10 04:00:00
tdstt28,HOURLY,A,97,2021-06-10 00:11:07,P,2021-06-10 00:15:00
tdstt28,HOURLY,A,90,2021-06-09 20:12:05,P,2021-06-09 20:15:00
tdstt28,HOURLY,A,63,2021-06-09 17:27:10,P,2021-06-09 17:30:00
tdstt28,HOURLY,A,40,2021-06-09 13:56:05,P,2021-06-09 14:00:00
tdstt28,HOURLY,A,50,2021-06-09 10:57:08,P,2021-06-09 11:00:00
tdstt28,HOURLY,A,53,2021-06-09 09:43:07,P,2021-06-09 09:45:00
tdstt28,HOURLY,A,59,2021-06-09 08:43:07,P,2021-06-09 08:45:00
tdstt28,HOURLY,A,97,2021-06-09 05:56:05,P,2021-06-09 06:00:00
tdstt28,HOURLY,A,97,2021-06-09 04:11:07,P,2021-06-09 04:15:00
tdstt28,HOURLY,A,97,2021-06-09 02:11:07,P,2021-06-09 02:15:00
tdstt28,HOURLY,A,87,2021-06-08 20:57:07,P,2021-06-08 21:00:00
tdstt28,HOURLY,A,91,2021-06-08 18:43:08,P,2021-06-08 18:45:00
tdstt28,HOURLY,A,46,2021-06-08 16:11:29,P,2021-06-08 16:15:00
tdstt28,HOURLY,A,35,2021-06-08 14:13:31,P,2021-06-08 14:15:00
tdstt28,HOURLY,A,26,2021-06-08 13:12:28,P,2021-06-08 13:15:00
tdstt28,HOURLY,A,89,2021-06-08 03:56:25,P,2021-06-08 04:00:00
